time, px, py, pz, qx, qy, qz, qw
0, 0.203678, 0.359398, 1.45393, -0.0170653, -0.0139176, -0.70538, 0.708487
0.01981, 0.204007, 0.358154, 1.45324, -0.0154455, -0.0159159, -0.705717, 0.708146
0.0402529, 0.204659, 0.356661, 1.45311, -0.0161972, -0.0162486, -0.705079, 0.708758
0.0603313, 0.204354, 0.355572, 1.4527, -0.0172989, -0.0150385, -0.705967, 0.707873
0.0804014, 0.204049, 0.3546, 1.45192, -0.016552, -0.0152971, -0.707126, 0.706729
0.100279, 0.204576, 0.353193, 1.45131, -0.0172658, -0.0140107, -0.705965, 0.707897
0.119869, 0.205139, 0.351683, 1.45108, -0.0160746, -0.0165859, -0.706189, 0.707647
0.140311, 0.20508, 0.350437, 1.45057, -0.017186, -0.0161859, -0.706561, 0.707259
0.160318, 0.204491, 0.349251, 1.45017, -0.0190472, -0.0163629, -0.708052, 0.705713
0.180313, 0.205628, 0.34777, 1.44933, -0.0156922, -0.0176323, -0.706708, 0.707111
0.200288, 0.205757, 0.346277, 1.44935, -0.0180233, -0.0160993, -0.706369, 0.707431
0.220388, 0.20568, 0.345108, 1.44851, -0.0159841, -0.0178565, -0.707322, 0.706485
0.239594, 0.205678, 0.343669, 1.44819, -0.0173986, -0.0173226, -0.707066, 0.706721
0.260408, 0.206214, 0.342127, 1.44796, -0.0171797, -0.0180921, -0.707068, 0.706706
0.279592, 0.206443, 0.340806, 1.44742, -0.0160163, -0.0195898, -0.707256, 0.706505
0.300351, 0.205495, 0.339506, 1.44756, -0.0198586, -0.0163551, -0.708405, 0.705337
0.320279, 0.20644, 0.337937, 1.44693, -0.016974, -0.0187371, -0.707416, 0.706345
0.3403, 0.206764, 0.336491, 1.44681, -0.0168768, -0.0192377, -0.707225, 0.706526
0.360422, 0.206549, 0.335198, 1.44668, -0.0167848, -0.0188567, -0.707809, 0.705953
0.38021, 0.206532, 0.333694, 1.44653, -0.0169385, -0.0197351, -0.7077, 0.706034
0.400356, 0.20699, 0.332184, 1.44628, -0.0165769, -0.0195723, -0.707301, 0.706447
0.42006, 0.206792, 0.330766, 1.44647, -0.018065, -0.0191674, -0.707761, 0.705961
0.439841, 0.206239, 0.329604, 1.44638, -0.017777, -0.0185155, -0.708844, 0.704898
0.460362, 0.20675, 0.327901, 1.44631, -0.0178837, -0.020359, -0.707889, 0.705804
0.479866, 0.207044, 0.326472, 1.44649, -0.0175273, -0.0204182, -0.707377, 0.706324
0.500309, 0.20677, 0.325205, 1.44657, -0.0172396, -0.0199725, -0.707919, 0.7058
0.519661, 0.205995, 0.323932, 1.44676, -0.0196587, -0.0184665, -0.709077, 0.704615
0.539623, 0.207001, 0.322361, 1.44675, -0.0165729, -0.0205991, -0.707475, 0.706244
0.559546, 0.206882, 0.320953, 1.44715, -0.0177959, -0.0199625, -0.707609, 0.706098
0.579592, 0.205889, 0.31971, 1.44758, -0.0197621, -0.0198395, -0.709186, 0.704465
0.600374, 0.206285, 0.318355, 1.44746, -0.0171235, -0.0208277, -0.708285, 0.705411
0.620584, 0.206138, 0.316901, 1.44801, -0.0191757, -0.0193748, -0.708052, 0.705634
0.639923, 0.206209, 0.315536, 1.44819, -0.0175333, -0.0211958, -0.708337, 0.705338
0.660638, 0.205106, 0.314475, 1.44862, -0.02028, -0.0180683, -0.709527, 0.704155
0.680797, 0.205494, 0.313004, 1.44882, -0.0185857, -0.0196672, -0.708412, 0.70528
0.700691, 0.205689, 0.31156, 1.44898, -0.0180014, -0.0212729, -0.708243, 0.705419
0.720492, 0.205308, 0.310332, 1.44937, -0.0187554, -0.0206188, -0.708293, 0.705368
0.740251, 0.204728, 0.309192, 1.44961, -0.0188123, -0.0193005, -0.708654, 0.705041
0.760635, 0.204758, 0.307868, 1.44965, -0.018956, -0.0186692, -0.708185, 0.705526
0.779977, 0.204523, 0.306505, 1.45008, -0.0192866, -0.0191352, -0.708346, 0.705342
0.800886, 0.203584, 0.30544, 1.4506, -0.0206501, -0.0182994, -0.709698, 0.703965
0.820623, 0.203919, 0.304094, 1.45051, -0.0191885, -0.0194952, -0.708617, 0.705063
0.840857, 0.20409, 0.302781, 1.45074, -0.0186636, -0.0210325, -0.708142, 0.70551
0.859991, 0.203599, 0.301654, 1.45116, -0.0190349, -0.0191946, -0.708532, 0.70516
0.879923, 0.203118, 0.30049, 1.45138, -0.0203764, -0.0183126, -0.708801, 0.704877
0.900135, 0.203119, 0.299206, 1.45137, -0.0189548, -0.0201539, -0.70907, 0.704595
0.920388, 0.202699, 0.298025, 1.45185, -0.0207729, -0.0176647, -0.708958, 0.704723
0.940652, 0.202486, 0.296801, 1.45201, -0.020218, -0.0184452, -0.70933, 0.704345
0.960735, 0.202199, 0.295756, 1.45215, -0.0197382, -0.0188972, -0.70961, 0.704064
0.979973, 0.202156, 0.294546, 1.45243, -0.0211929, -0.0175708, -0.709027, 0.704643
1.00082, 0.202171, 0.293398, 1.45245, -0.0194389, -0.0190871, -0.709706, 0.703971
1.02075, 0.201624, 0.292301, 1.45285, -0.0220342, -0.0174344, -0.709725, 0.703918
1.04056, 0.201471, 0.291131, 1.45276, -0.0209195, -0.0183313, -0.710155, 0.703496
1.06051, 0.201731, 0.289964, 1.45274, -0.020249, -0.0187013, -0.709529, 0.704137
1.08088, 0.201541, 0.288902, 1.45289, -0.0206134, -0.0179215, -0.709716, 0.703958
1.10089, 0.201258, 0.288035, 1.45265, -0.0191955, -0.0180251, -0.710185, 0.703523
1.12012, 0.200845, 0.286862, 1.45253, -0.0218154, -0.0163965, -0.710497, 0.70317
1.14069, 0.201115, 0.285603, 1.45253, -0.0204807, -0.0185496, -0.710561, 0.703093
1.16091, 0.200893, 0.284684, 1.45231, -0.0200395, -0.0167065, -0.710629, 0.703083
1.18086, 0.200744, 0.283794, 1.45185, -0.0201896, -0.0152924, -0.710453, 0.703289
1.20013, 0.200856, 0.282595, 1.45152, -0.0186566, -0.0173435, -0.710942, 0.702789
1.22065, 0.200677, 0.281432, 1.45166, -0.020885, -0.0159698, -0.711023, 0.702677
1.24011, 0.200743, 0.280481, 1.45109, -0.0191824, -0.0171959, -0.711591, 0.702121
1.26001, 0.200099, 0.279604, 1.45075, -0.0207075, -0.0156368, -0.712643, 0.701047
1.28079, 0.20055, 0.278216, 1.45052, -0.0207239, -0.0160965, -0.711643, 0.702051
1.30088, 0.20111, 0.27714, 1.44993, -0.0181583, -0.0183109, -0.711374, 0.702341
1.32013, 0.200528, 0.276268, 1.4495, -0.0203767, -0.015955, -0.711979, 0.701724
1.34076, 0.20053, 0.275257, 1.44894, -0.0196888, -0.0169579, -0.712205, 0.701491
1.36066, 0.200928, 0.274004, 1.44867, -0.0192276, -0.0182068, -0.711835, 0.701847
1.38078, 0.200724, 0.273001, 1.44844, -0.0204938, -0.017286, -0.712105, 0.701561
1.40081, 0.200257, 0.272145, 1.44791, -0.0205116, -0.0177189, -0.713344, 0.700289
1.42057, 0.200851, 0.270855, 1.44746, -0.0201513, -0.0186648, -0.712118, 0.701522
1.44061, 0.201001, 0.269871, 1.44716, -0.0202347, -0.017587, -0.712025, 0.701642
1.46021, 0.20068, 0.268971, 1.44682, -0.0210244, -0.018343, -0.712491, 0.701126
1.48046, 0.200404, 0.268122, 1.44648, -0.0212244, -0.0184025, -0.713047, 0.700554
1.50081, 0.20092, 0.266778, 1.44638, -0.0208924, -0.0195017, -0.712209, 0.701385
1.52014, 0.201014, 0.265915, 1.4462, -0.0211993, -0.0198647, -0.712196, 0.701379
1.54026, 0.200447, 0.26521, 1.44603, -0.0227889, -0.019886, -0.713438, 0.700065
1.56083, 0.201004, 0.264011, 1.44589, -0.0221107, -0.0217715, -0.712328, 0.701161
1.58086, 0.201319, 0.263035, 1.44605, -0.022457, -0.0212141, -0.712007, 0.701492
1.60054, 0.200943, 0.262514, 1.44596, -0.0226345, -0.0197888, -0.712416, 0.701113
1.62074, 0.200385, 0.26186, 1.44585, -0.0235582, -0.0201633, -0.713629, 0.699838
1.64079, 0.200918, 0.260859, 1.44598, -0.0232994, -0.0202953, -0.712678, 0.700811
1.66026, 0.201114, 0.260011, 1.4465, -0.0235689, -0.0209867, -0.712659, 0.7008
1.6809, 0.200461, 0.259658, 1.44645, -0.0242406, -0.0189034, -0.71395, 0.699522
1.7008, 0.200285, 0.259012, 1.44665, -0.0251788, -0.0184005, -0.714294, 0.699151
1.72027, 0.201244, 0.258173, 1.44675, -0.02289, -0.0208182, -0.713015, 0.700466
1.74051, 0.201148, 0.257632, 1.44703, -0.0237748, -0.0189141, -0.713028, 0.700478
1.76081, 0.200489, 0.257343, 1.44713, -0.0243071, -0.0177997, -0.714269, 0.699223
1.7808, 0.201248, 0.256621, 1.44705, -0.022527, -0.0200125, -0.713283, 0.700228
1.80011, 0.201467, 0.25596, 1.4476, -0.0248899, -0.0193641, -0.713397, 0.70005
1.82064, 0.201458, 0.255733, 1.44746, -0.0228074, -0.0197937, -0.713916, 0.69958
1.84016, 0.200974, 0.255465, 1.44745, -0.024178, -0.0183051, -0.714797, 0.698674
1.86022, 0.201753, 0.254857, 1.44738, -0.0230411, -0.0182978, -0.713678, 0.699856
1.8808, 0.202166, 0.254558, 1.44722, -0.0218671, -0.0190369, -0.713719, 0.699832
1.90083, 0.201477, 0.254423, 1.4473, -0.024696, -0.0180548, -0.714859, 0.698599
1.92054, 0.20225, 0.254089, 1.44668, -0.0213622, -0.0203886, -0.714001, 0.699521
1.94006, 0.20245, 0.253676, 1.44662, -0.022482, -0.0186386, -0.713725, 0.699817
1.96043, 0.202613, 0.253422, 1.44641, -0.0221515, -0.0196534, -0.71398, 0.699539
1.98057, 0.202145, 0.253414, 1.44598, -0.0232204, -0.0187815, -0.715104, 0.69838
2.00005, 0.203026, 0.253078, 1.44539, -0.0216069, -0.0200321, -0.71385, 0.699679
2.02059, 0.203473, 0.25272, 1.44554, -0.0215596, -0.0210685, -0.713448, 0.70006
2.04046, 0.20356, 0.252683, 1.44504, -0.0209763, -0.0219539, -0.7136, 0.699895
2.06085, 0.203503, 0.252729, 1.44461, -0.0216568, -0.0211845, -0.713685, 0.699811
2.08074, 0.203722, 0.252573, 1.44447, -0.0224202, -0.0208369, -0.713945, 0.699533
2.10075, 0.204398, 0.25231, 1.44439, -0.0211942, -0.0228762, -0.713638, 0.69982
2.12075, 0.204019, 0.252454, 1.44423, -0.0228282, -0.0206083, -0.713984, 0.699486
2.1408, 0.204081, 0.252465, 1.4441, -0.023394, -0.0209749, -0.714221, 0.699215
2.16089, 0.204663, 0.252552, 1.44379, -0.0213904, -0.0217005, -0.714021, 0.699461
2.18067, 0.204464, 0.252583, 1.44406, -0.0240455, -0.0196498, -0.714311, 0.699139
2.19991, 0.204738, 0.252896, 1.44376, -0.0212491, -0.0218727, -0.714518, 0.698952
2.22069, 0.204778, 0.252959, 1.44366, -0.0225006, -0.0202179, -0.714592, 0.698887
2.24061, 0.204989, 0.252977, 1.4438, -0.0231224, -0.0196233, -0.714533, 0.698944
2.2609, 0.205416, 0.253432, 1.4433, -0.0197647, -0.020391, -0.714422, 0.699139
2.28083, 0.205099, 0.253678, 1.4432, -0.0226555, -0.0177586, -0.714361, 0.699185
2.30057, 0.205519, 0.253845, 1.44288, -0.0202545, -0.0191054, -0.714556, 0.699024
2.32072, 0.205716, 0.25411, 1.44275, -0.0199812, -0.0183445, -0.714511, 0.699098
2.3403, 0.205845, 0.254476, 1.44249, -0.0201996, -0.0193464, -0.714555, 0.69902
2.36063, 0.20594, 0.2547, 1.44209, -0.0202315, -0.0210469, -0.714741, 0.69878
2.38065, 0.206045, 0.254887, 1.44207, -0.021554, -0.0192376, -0.714477, 0.699062
2.39989, 0.206458, 0.255234, 1.44176, -0.0200828, -0.0204163, -0.714495, 0.699054
2.42066, 0.206335, 0.255707, 1.44143, -0.0209571, -0.0198421, -0.714725, 0.69881
2.44059, 0.206328, 0.256059, 1.44133, -0.021761, -0.019693, -0.714792, 0.698721
2.46059, 0.206768, 0.256229, 1.44139, -0.0209806, -0.0204146, -0.714395, 0.69913
2.48075, 0.206859, 0.256684, 1.44148, -0.0208247, -0.0202329, -0.714406, 0.699129
2.49979, 0.206734, 0.257338, 1.4414, -0.0213911, -0.0199923, -0.71447, 0.699053
2.52089, 0.207126, 0.257539, 1.44161, -0.0215263, -0.0211435, -0.714407, 0.69908
2.54062, 0.207469, 0.257809, 1.44211, -0.0214593, -0.0210584, -0.714254, 0.69924
2.56067, 0.206974, 0.25847, 1.4424, -0.0226584, -0.0189282, -0.714943, 0.69856
2.58078, 0.207058, 0.259039, 1.44231, -0.0214741, -0.0194832, -0.714999, 0.698524
2.60064, 0.207382, 0.259401, 1.44274, -0.0214718, -0.0186627, -0.714763, 0.698788
2.62074, 0.207829, 0.259917, 1.44329, -0.0209109, -0.0186657, -0.714501, 0.699072
2.64022, 0.207187, 0.260617, 1.44353, -0.0220398, -0.0184077, -0.716142, 0.697363
2.66061, 0.207069, 0.261129, 1.44381, -0.0233301, -0.0167204, -0.716465, 0.697032
2.68012, 0.208152, 0.261509, 1.44388, -0.0197799, -0.0188082, -0.715383, 0.698199
2.70062, 0.208283, 0.262005, 1.44435, -0.0207309, -0.0185648, -0.715136, 0.698431
2.72069, 0.207596, 0.262888, 1.44438, -0.0216221, -0.0159114, -0.716564, 0.697004
2.74056, 0.208452, 0.263227, 1.44433, -0.0199401, -0.0175729, -0.715556, 0.69805
2.76054, 0.208767, 0.263603, 1.44489, -0.0214193, -0.0175552, -0.715599, 0.697962
2.78084, 0.208852, 0.26433, 1.44475, -0.0198156, -0.0183253, -0.716142, 0.697433
2.80079, 0.208472, 0.265057, 1.44473, -0.0212244, -0.0171119, -0.716985, 0.696555
2.82024, 0.209333, 0.265273, 1.44478, -0.0204919, -0.0177129, -0.715886, 0.697691
2.8408, 0.210089, 0.26581, 1.44474, -0.0179859, -0.0193348, -0.715485, 0.698129
2.86079, 0.209239, 0.26663, 1.44471, -0.0205055, -0.015862, -0.716895, 0.696699
2.88016, 0.209672, 0.267107, 1.44453, -0.0193965, -0.0175974, -0.716938, 0.696645
2.89992, 0.210707, 0.267291, 1.44459, -0.0185567, -0.0194881, -0.715642, 0.697948
2.92069, 0.210647, 0.267911, 1.44452, -0.0191942, -0.0190275, -0.716024, 0.697552
2.94001, 0.210276, 0.268671, 1.44429, -0.0193489, -0.01872, -0.7171, 0.69645
2.9605, 0.211124, 0.268917, 1.44405, -0.0185051, -0.0187685, -0.715615, 0.697997
2.9805, 0.211635, 0.269384, 1.44402, -0.018361, -0.0192191, -0.715515, 0.698092
3.00063, 0.211548, 0.270063, 1.44385, -0.0183626, -0.0190179, -0.715734, 0.697872
3.02016, 0.211229, 0.270679, 1.44374, -0.0194798, -0.0183715, -0.716599, 0.696971
3.0405, 0.212164, 0.270819, 1.44383, -0.0186271, -0.0196913, -0.715114, 0.698483
3.06051, 0.212495, 0.27129, 1.444, -0.0185604, -0.0206279, -0.715143, 0.698427
3.07981, 0.211999, 0.272078, 1.4441, -0.0196833, -0.0193289, -0.716378, 0.697167
3.10046, 0.212748, 0.272306, 1.4442, -0.0192734, -0.021143, -0.714879, 0.698663
3.12049, 0.212691, 0.273264, 1.44376, -0.0176516, -0.0181107, -0.716133, 0.697506
3.1404, 0.213048, 0.273378, 1.4448, -0.0209338, -0.0189647, -0.715318, 0.698228
3.16056, 0.212841, 0.274083, 1.44478, -0.020251, -0.0201434, -0.716361, 0.697145
3.18054, 0.213681, 0.274401, 1.44481, -0.0189608, -0.0199873, -0.714929, 0.698654
3.20022, 0.213856, 0.274776, 1.44553, -0.0199809, -0.0190423, -0.714862, 0.698721
3.22047, 0.213962, 0.275541, 1.44562, -0.0187158, -0.020333, -0.715361, 0.698208
3.2405, 0.21384, 0.276049, 1.44581, -0.0205565, -0.0187681, -0.715439, 0.69812
3.26059, 0.214509, 0.276487, 1.44602, -0.0188371, -0.0193463, -0.715211, 0.698387
