time, px, py, pz, qx, qy, qz, qw
0, -0.0232855, 0.0460345, 1.70882, -0.00597444, 0.00642141, -0.773667, 0.633532
0.0200329, -0.0228469, 0.0462976, 1.70831, -0.00518078, 0.00579555, -0.77363, 0.63359
0.039618, -0.0224703, 0.0464771, 1.70814, -0.00470331, 0.00563592, -0.773708, 0.6335
0.0599411, -0.0222963, 0.046607, 1.70789, -0.00472901, 0.00549163, -0.773671, 0.633546
0.0799224, -0.0225789, 0.0474491, 1.70723, -0.00443196, 0.00704614, -0.775721, 0.631021
0.0996628, -0.0221287, 0.0475233, 1.70682, -0.00399387, 0.00617364, -0.7759, 0.630813
0.119919, -0.0215419, 0.0469854, 1.70681, -0.00397789, 0.00406254, -0.774459, 0.632598
0.139609, -0.0214478, 0.0472047, 1.70629, -0.00439374, 0.00546807, -0.774335, 0.632737
0.159231, -0.0216244, 0.0477824, 1.70542, -0.00377084, 0.00657459, -0.776209, 0.63043
0.179302, -0.0212422, 0.047617, 1.70478, -0.00247531, 0.00557712, -0.776348, 0.630274
0.199947, -0.0208997, 0.0470738, 1.70464, -0.00401354, 0.0060393, -0.774643, 0.632357
0.219216, -0.0206943, 0.0471757, 1.7036, -0.00295872, 0.00600436, -0.77462, 0.632391
0.239258, -0.0204267, 0.0470207, 1.70274, -0.00263187, 0.00573452, -0.774389, 0.632678
0.259216, -0.0203475, 0.0468168, 1.70246, -0.00347013, 0.00675995, -0.774481, 0.632552
0.279174, -0.0202477, 0.04648, 1.70198, -0.00359295, 0.00579525, -0.774486, 0.632555
0.299165, -0.0201342, 0.0465059, 1.70113, -0.00304423, 0.00602553, -0.774455, 0.632594
0.319681, -0.0199256, 0.0461237, 1.70081, -0.00386835, 0.00609653, -0.774478, 0.63256
0.339607, -0.0195626, 0.0456148, 1.70063, -0.00314257, 0.00414991, -0.774653, 0.632365
0.359911, -0.0197294, 0.0452227, 1.7004, -0.00541467, 0.00517523, -0.774725, 0.632254
0.379892, -0.0198484, 0.0453815, 1.69971, -0.00468268, 0.00526674, -0.776723, 0.629802
0.399874, -0.0195192, 0.0449187, 1.69946, -0.00376945, 0.00502382, -0.776785, 0.629734
0.420003, -0.0191988, 0.0438952, 1.69956, -0.0056063, 0.00474141, -0.775257, 0.631604
0.439446, -0.019247, 0.0436796, 1.69898, -0.00542361, 0.00470181, -0.775416, 0.63141
0.459771, -0.0193349, 0.0433595, 1.6987, -0.00511253, 0.00390649, -0.777128, 0.629309
0.479313, -0.0190393, 0.0427254, 1.69866, -0.00492091, 0.00429584, -0.776966, 0.629509
0.500005, -0.0187517, 0.0417476, 1.69867, -0.00527543, 0.00317393, -0.775218, 0.631663
0.51938, -0.0188648, 0.0414908, 1.69825, -0.00533656, 0.00407181, -0.775129, 0.631767
0.539543, -0.0187025, 0.0407908, 1.69828, -0.0059308, 0.00379153, -0.775108, 0.631789
0.559891, -0.0184198, 0.0402104, 1.69831, -0.00481637, 0.00320404, -0.775236, 0.631645
0.579874, -0.0185424, 0.0396313, 1.69835, -0.00562992, 0.00315142, -0.775345, 0.631505
0.599959, -0.0189138, 0.0394762, 1.69808, -0.00595884, 0.00348231, -0.777304, 0.629088
0.619968, -0.0185997, 0.0388017, 1.69808, -0.00508322, 0.00272441, -0.777247, 0.62917
