time, px, py, pz, qx, qy, qz, qw
0, -0.00895085, 0.138328, 1.5679, 0.00512872, 0.00436369, -0.763441, 0.645842
0.0194898, -0.00820478, 0.137096, 1.56856, 0.00660694, 0.00340895, -0.761866, 0.647692
0.0392199, -0.00977725, 0.136309, 1.56946, 0.00557738, 0.00524275, -0.764334, 0.644775
0.0593061, -0.00997068, 0.135986, 1.57009, 0.00441149, 0.00559177, -0.765444, 0.643463
0.0797179, -0.00899051, 0.134258, 1.5714, 0.00206824, 0.00272445, -0.762946, 0.646453
0.0997872, -0.00986742, 0.133796, 1.57136, 0.00526378, 0.0055371, -0.764622, 0.644434
0.119281, -0.0099649, 0.133036, 1.57216, 0.00467622, 0.00639434, -0.764748, 0.64428
0.139115, -0.00912742, 0.131819, 1.57337, 0.00225329, 0.00301295, -0.763222, 0.646125
0.159525, -0.00850748, 0.130644, 1.57358, 0.00419027, 0.00247668, -0.762217, 0.647304
0.17897, -0.00958153, 0.13006, 1.57426, 0.00484485, 0.0043047, -0.764694, 0.644361
0.19979, -0.00978419, 0.129552, 1.57474, 0.00486546, 0.0057309, -0.764815, 0.644206
0.219378, -0.00904801, 0.128677, 1.57561, 0.00270655, 0.005619, -0.76421, 0.644937
0.239124, -0.00853994, 0.12754, 1.5762, 0.00464429, 0.00366311, -0.763932, 0.64527
0.259402, -0.00899129, 0.126798, 1.57692, 0.00526988, 0.00462869, -0.765427, 0.643484
0.279674, -0.00902985, 0.126568, 1.57749, 0.00422096, 0.00666882, -0.766225, 0.642524
0.299799, -0.00799853, 0.124943, 1.57834, 0.00408504, 0.00343855, -0.764219, 0.644934
0.31936, -0.00858278, 0.124087, 1.57896, 0.00478064, 0.00590795, -0.765244, 0.643695
0.338976, -0.00816512, 0.123362, 1.57949, 0.00607466, 0.00541974, -0.765633, 0.643226
0.359768, -0.00705246, 0.122292, 1.58054, 0.00430672, 0.00309631, -0.764206, 0.644951
0.379245, -0.00652253, 0.121174, 1.58104, 0.00429676, 0.00524421, -0.763214, 0.64611
0.39946, -0.0072261, 0.120382, 1.5815, 0.0060643, 0.00493397, -0.76545, 0.643448
0.419553, -0.00710557, 0.120032, 1.58162, 0.00705512, 0.00703022, -0.765683, 0.643141
0.439267, -0.00598836, 0.119216, 1.58227, 0.00622596, 0.00663893, -0.764662, 0.644367
0.459732, -0.00541814, 0.117449, 1.58309, 0.00644101, 0.00368272, -0.764243, 0.644885
0.47975, -0.00584817, 0.116621, 1.58353, 0.00556301, 0.00520483, -0.765822, 0.643007
0.499727, -0.00473775, 0.116319, 1.58354, 0.00758315, 0.00442176, -0.765431, 0.643458
0.519627, -0.00466198, 0.115064, 1.58419, 0.00503919, 0.00600481, -0.76524, 0.643698
0.539064, -0.00491063, 0.113856, 1.58438, 0.00583717, 0.00609523, -0.766204, 0.642541
0.559744, -0.00447083, 0.113156, 1.58441, 0.00787212, 0.00514391, -0.766446, 0.64224
0.579101, -0.00341061, 0.112505, 1.58457, 0.00675838, 0.00616818, -0.765448, 0.643433
0.599726, -0.00204625, 0.110926, 1.5848, 0.00847504, 0.00231358, -0.764361, 0.644728
0.619977, -0.00303852, 0.109989, 1.58522, 0.00725162, 0.00476224, -0.766405, 0.642299
0.639455, -0.00317141, 0.109215, 1.58515, 0.00618907, 0.00612009, -0.766683, 0.641967
0.6594, -0.00153568, 0.108399, 1.58506, 0.00739185, 0.0039783, -0.765611, 0.643249
0.680162, -0.00178248, 0.107343, 1.58527, 0.00742177, 0.00466253, -0.76708, 0.641491
0.700145, -0.001149, 0.105916, 1.58551, 0.00826093, 0.00331456, -0.766645, 0.642009
0.719673, -0.000947058, 0.105642, 1.5851, 0.00795654, 0.00417359, -0.767555, 0.64092
0.739346, 0.000684234, 0.10405, 1.58528, 0.00755023, 0.00349988, -0.76434, 0.64476
0.760126, 0.00011386, 0.103267, 1.58527, 0.00807101, 0.00441377, -0.766799, 0.641821
0.779959, 0.000276198, 0.102306, 1.58521, 0.00772154, 0.00457175, -0.766915, 0.641685
0.799567, 0.00138728, 0.101268, 1.58544, 0.00636423, 0.00349628, -0.76597, 0.642835
0.820207, 0.00211136, 0.0998196, 1.58549, 0.00734241, 0.00138058, -0.765752, 0.643092
0.839463, 0.00195677, 0.0988966, 1.58553, 0.00778903, 0.00243406, -0.766912, 0.6417
0.859478, 0.00218347, 0.0988722, 1.58519, 0.00834396, 0.00477843, -0.767818, 0.640596
0.880187, 0.0034076, 0.0969659, 1.58571, 0.00730062, 0.000957014, -0.766038, 0.642753
0.900142, 0.00329139, 0.0959498, 1.58547, 0.00772578, 0.00298224, -0.765804, 0.643021
0.919437, 0.00324181, 0.0952412, 1.58555, 0.00800297, 0.0034627, -0.767031, 0.641551
0.939487, 0.00470036, 0.0941556, 1.58586, 0.00797719, 0.000844976, -0.765556, 0.643319
0.96019, 0.00535435, 0.0929769, 1.58542, 0.00962223, 0.00153416, -0.764624, 0.644403
0.980105, 0.00442439, 0.0920156, 1.5856, 0.00920049, 0.00274981, -0.766762, 0.64186
