time, px, py, pz, qx, qy, qz, qw
0, -0.0246092, 0.00372775, 1.69105, 0.00627332, 0.00850069, -0.762121, 0.647348
0.0197456, -0.0250844, 0.00379626, 1.69128, 0.00591781, 0.00885296, -0.76237, 0.647053
0.0392461, -0.0251457, 0.00424262, 1.69088, 0.00652924, 0.00892502, -0.762363, 0.647055
0.0591807, -0.0240738, 0.00450131, 1.69067, 0.00731013, 0.00775997, -0.761077, 0.648574
0.0796959, -0.0252795, 0.00466059, 1.69098, 0.0065436, 0.00808666, -0.763753, 0.645424
0.0997214, -0.0255575, 0.004747, 1.69086, 0.0063684, 0.00952346, -0.763301, 0.645941
0.119596, -0.0242204, 0.00501967, 1.69043, 0.00739758, 0.00812482, -0.761011, 0.648646
0.139723, -0.0241536, 0.00523546, 1.69043, 0.00694986, 0.00871654, -0.7608, 0.64889
0.159178, -0.0255903, 0.0055247, 1.69054, 0.00623542, 0.0101057, -0.763223, 0.646027
0.179641, -0.0256147, 0.0056071, 1.69048, 0.00655888, 0.00861223, -0.763349, 0.645895
0.199661, -0.0244889, 0.00584064, 1.69047, 0.00540071, 0.00843571, -0.760922, 0.648766
0.219742, -0.02488, 0.0063438, 1.6904, 0.00624752, 0.00837846, -0.762304, 0.647134
0.239768, -0.0252363, 0.00635501, 1.69059, 0.0063321, 0.00862008, -0.762552, 0.646838
0.258926, -0.0254309, 0.00667648, 1.69016, 0.00651846, 0.00840854, -0.762484, 0.64692
0.279707, -0.0243511, 0.00701356, 1.68995, 0.00759204, 0.00782929, -0.761292, 0.648318
0.299164, -0.0249344, 0.0074136, 1.68998, 0.00727185, 0.0097748, -0.762464, 0.646916
0.319122, -0.0252737, 0.00751291, 1.68973, 0.00777069, 0.0093742, -0.762486, 0.64689
0.339656, -0.0246528, 0.00761748, 1.68974, 0.00668142, 0.00944644, -0.761154, 0.648469
0.35914, -0.0252285, 0.00801616, 1.68963, 0.00625492, 0.0103156, -0.762164, 0.647272
0.379653, -0.0254807, 0.00853985, 1.68956, 0.00778583, 0.00934172, -0.76408, 0.645007
0.399673, -0.0258341, 0.0089002, 1.68946, 0.00732622, 0.00998138, -0.764278, 0.644767
0.418983, -0.0247343, 0.00867647, 1.6894, 0.00710515, 0.00782313, -0.761433, 0.648157
0.439752, -0.0250882, 0.00875925, 1.68962, 0.00608163, 0.00760453, -0.762328, 0.647118
0.459185, -0.0255035, 0.00936489, 1.68921, 0.00797479, 0.00912462, -0.763029, 0.646251
0.479132, -0.0256071, 0.00963697, 1.68888, 0.00836476, 0.00892391, -0.762818, 0.646497
0.499713, -0.0254894, 0.0096663, 1.68897, 0.0059743, 0.00938467, -0.762269, 0.647165
0.519117, -0.0251662, 0.00977312, 1.6889, 0.00748605, 0.00800096, -0.762469, 0.646932
0.539684, -0.025762, 0.0102469, 1.6887, 0.00697855, 0.0106555, -0.762814, 0.646493
0.559155, -0.025087, 0.0105533, 1.68847, 0.00666462, 0.010081, -0.761733, 0.647778
0.579689, -0.0254135, 0.0105427, 1.68841, 0.00671683, 0.0082339, -0.76258, 0.646807
0.599751, -0.0256992, 0.0105449, 1.68862, 0.00580579, 0.00856331, -0.763203, 0.646076
0.6199, -0.0256506, 0.0112541, 1.68801, 0.00823898, 0.00852123, -0.763601, 0.645579
0.639076, -0.0250515, 0.0112942, 1.6879, 0.00678385, 0.00882201, -0.762077, 0.64739
0.659145, -0.025748, 0.0113458, 1.68804, 0.00507548, 0.0101766, -0.7629, 0.646416
0.680004, -0.0263324, 0.0117214, 1.68774, 0.00684707, 0.00963585, -0.764726, 0.644248
0.699774, -0.026713, 0.0123451, 1.68727, 0.00580929, 0.0123218, -0.764851, 0.644063
0.71999, -0.0249316, 0.0123356, 1.68699, 0.00790779, 0.00870578, -0.762648, 0.646706
0.739872, -0.0250447, 0.0118716, 1.68734, 0.00668512, 0.00763457, -0.762309, 0.647134
0.759701, -0.0264437, 0.0127231, 1.68726, 0.0053579, 0.0100888, -0.765412, 0.64344
0.779972, -0.025077, 0.0131441, 1.68673, 0.0070566, 0.00769083, -0.763823, 0.645341
0.79946, -0.025064, 0.0131677, 1.68682, 0.00555791, 0.00918613, -0.763458, 0.645768
0.820085, -0.0258485, 0.0133474, 1.68683, 0.00589007, 0.00907978, -0.764875, 0.644088
0.84019, -0.0259954, 0.0138066, 1.68643, 0.00633949, 0.00963196, -0.765054, 0.643863
0.85963, -0.0253637, 0.0142208, 1.68619, 0.0057163, 0.0106832, -0.764057, 0.645035
0.87987, -0.0252744, 0.0141491, 1.68634, 0.00678946, 0.00840896, -0.76486, 0.644105
0.900122, -0.0262114, 0.0145379, 1.68639, 0.00618066, 0.0107956, -0.766228, 0.642449
0.920162, -0.0251949, 0.0148614, 1.68621, 0.00554532, 0.0100138, -0.76434, 0.644711
0.94011, -0.0249005, 0.0150011, 1.68614, 0.00601059, 0.00832734, -0.764427, 0.644628
0.95965, -0.0259496, 0.0156153, 1.6862, 0.00601178, 0.0101847, -0.767401, 0.641059
0.980239, -0.0255096, 0.015602, 1.68617, 0.00663731, 0.00924342, -0.765873, 0.642891
1, -0.0249653, 0.0158147, 1.68616, 0.00553074, 0.00908121, -0.764739, 0.644252
